20:22:30,  cpu usage : 0.0,  cpu temp : 55.8,  mem usage : 0.386962106615,   
20:22:31,  cpu usage : 1.0,  cpu temp : 55.8,  mem usage : 0.386962106615,   
20:22:32,  cpu usage : 1.0,  cpu temp : 55.8,  mem usage : 0.386962106615,   
20:22:33,  cpu usage : 1.0,  cpu temp : 56.4,  mem usage : 0.386962106615,   
20:22:34,  cpu usage : 3.0,  cpu temp : 56.4,  mem usage : 0.386962106615,   
20:22:35,  cpu usage : 3.0,  cpu temp : 55.8,  mem usage : 0.386962106615,   
20:22:36,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:37,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:38,  cpu usage : 3.0,  cpu temp : 55.3,  mem usage : 0.386962106615,   
20:22:39,  cpu usage : 2.0,  cpu temp : 55.3,  mem usage : 0.386962106615,   
20:22:40,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:41,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:42,  cpu usage : 1.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:43,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:44,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:45,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:46,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:47,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:48,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:49,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:22:50,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:51,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:52,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:53,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:54,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:22:55,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:56,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:22:57,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:58,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:22:59,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:00,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:01,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:02,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:03,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:04,  cpu usage : 1.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:05,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:06,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:07,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:08,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:09,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:10,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:11,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:12,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:13,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:14,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:16,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:17,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:18,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:19,  cpu usage : 1.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:23:20,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:21,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:23:22,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:23,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:24,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:25,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:23:26,  cpu usage : 3.0,  cpu temp : 55.3,  mem usage : 0.386962106615,   
20:23:27,  cpu usage : 2.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:23:28,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
