start,	24837
 39.9,6680, 
 41.8,6486, 
 41.7,6338, 
 48.2,6198, 
 58.1,6034, 
 61.2,5874, 
 55.2,5806, 
 55.9,5848, 
 57.0,5848, 
 56.1,5846, 
 42.6,5856, 
167.0,5808, 
172.3,5788, 
172.6,5788, 
168.5,5790, 
171.2,5788, 
 84.8,5812, 
 83.6,5834, 
126.7,5818, 
 92.5,5820, 
 93.3,5828, 
 92.9,5828, 
 93.1,5828, 
 93.5,5828, 
 94.0,5828, 
 93.3,5828, 
 93.5,5828, 
 93.9,5828, 
 93.3,5828, 
 93.7,5826, 
107.6,5826, 
102.2,5824, 
107.4,5822, 
110.5,5820, 
0m,	25182
1s,	25182
136.5,5818, 
 91.4,5828, 
 90.8,5830, 
 91.4,5828, 
 91.1,5830, 
1m,	25232
101.6,5828, 
 90.7,5830, 
 91.3,5828, 
 91.0,5830, 
 91.4,5828, 
 91.4,5830, 
 91.4,5828, 
 91.3,5830, 
 91.5,5830, 
 91.1,5828, 
 90.5,5828, 
 91.4,5832, 
 90.9,5830, 
 91.1,5828, 
 91.5,5830, 
 91.4,5828, 
 91.5,5828, 
 91.4,5830, 
 91.7,5828, 
 92.1,5832, 
 91.7,5828, 
 91.8,5830, 
 91.9,5830, 
 91.9,5830, 
 92.0,5828, 
 92.1,5830, 
 92.1,5830, 
 91.4,5830, 
 91.0,5830, 
 91.4,5828, 
108.2,5828, 
 91.6,5828, 
 91.6,5828, 
 91.1,5828, 
 91.2,5828, 
 91.3,5830, 
 91.3,5830, 
 91.2,5830, 
 91.3,5830, 
 91.3,5832, 
 91.5,5828, 
 91.5,5830, 
 90.9,5828, 
 89.0,5830, 
 90.8,5830, 
 97.9,5832, 
 91.2,5832, 
 90.8,5830, 
 90.8,5832, 
 90.8,5830, 
 91.4,5830, 
 90.8,5830, 
 91.1,5830, 
 90.8,5830, 
 90.8,5830, 
 90.8,5830, 
 90.8,5828, 
 90.8,5830, 
 90.9,5828, 
 91.2,5828, 
 90.7,5830, 
 91.3,5830, 
 91.2,5828, 
 92.0,5830, 
 91.3,5832, 
 91.4,5830, 
 91.4,5830, 
 91.7,5828, 
 91.0,5830, 
 91.4,5832, 
 91.2,5828, 
 91.3,5828, 
 91.5,5830, 
 90.9,5832, 
 90.6,5830, 
 90.8,5832, 
123.9,5816, 
 90.9,5830, 
 91.2,5828, 
 91.1,5828, 
 91.4,5828, 
 90.9,5832, 
 91.0,5830, 
 91.4,5832, 
 91.3,5830, 
 91.4,5830, 
 91.5,5828, 
 91.5,5828, 
 91.1,5830, 
 91.4,5832, 
 90.9,5830, 
 92.6,5828, 
 91.2,5830, 
 91.1,5832, 
 91.1,5830, 
 91.4,5832, 
 91.6,5828, 
 91.6,5828, 
 91.5,5828, 
 91.2,5832, 
 91.0,5828, 
 91.2,5830, 
 91.5,5828, 
 91.6,5828, 
 90.9,5830, 
 91.0,5832, 
 91.1,5804, 
 91.2,5830, 
 91.2,5828, 
 90.8,5828, 
 91.6,5830, 
 91.3,5828, 
 92.0,5830, 
 91.0,5832, 
 91.8,5830, 
 90.9,5832, 
 91.7,5828, 
 91.6,5830, 
 90.9,5830, 
 91.5,5830, 
 90.6,5830, 
111.6,5830, 
 91.2,5830, 
 91.1,5832, 
 91.0,5832, 
 91.1,5830, 
 90.9,5832, 
 91.4,5828, 
 91.0,5830, 
 91.0,5830, 
 91.0,5830, 
 91.3,5830, 
 91.0,5832, 
 91.0,5828, 
 91.4,5830, 
 90.9,5830, 
 91.8,5832, 
118.4,5812, 
 90.8,5830, 
 91.7,5828, 
 91.2,5830, 
 91.2,5828, 
 91.7,5832, 
 91.7,5830, 
 91.7,5828, 
 90.9,5830, 
 90.8,5830, 
 91.6,5828, 
 91.6,5830, 
 91.2,5830, 
 91.2,5832, 
 91.2,5832, 
 90.5,5818, 
 90.4,5828, 
 90.9,5832, 
 89.0,5832, 
 90.9,5832, 
 91.4,5830, 
 90.5,5832, 
 90.7,5830, 
 90.3,5832, 
 90.5,5830, 
 90.5,5830, 
 90.5,5832, 
 90.6,5830, 
 91.7,5830, 
 91.0,5830, 
 91.4,5832, 
 89.2,5832, 
 98.2,5830, 
 91.6,5830, 
 91.7,5828, 
 91.7,5832, 
 91.6,5830, 
 91.6,5828, 
 90.2,5832, 
 91.6,5830, 
 91.7,5828, 
 91.4,5830, 
 91.6,5830, 
 91.3,5830, 
 90.5,5830, 
 90.6,5806, 
 90.8,5830, 
 90.8,5832, 
 91.0,5832, 
 90.7,5832, 
 90.8,5830, 
 90.8,5830, 
 91.7,5830, 
 90.8,5832, 
 90.8,5832, 
 90.8,5830, 
 90.8,5832, 
 91.1,5832, 
 90.9,5832, 
 91.1,5828, 
 93.4,5830, 
 90.8,5830, 
 90.8,5828, 
 90.8,5832, 
 90.9,5832, 
 90.9,5830, 
 90.7,5832, 
 91.2,5832, 
 91.6,5828, 
 91.6,5832, 
 90.8,5832, 
 90.8,5832, 
 92.2,5830, 
 90.9,5830, 
 91.4,5832, 
 90.8,5832, 
 89.9,5832, 
133.8,5790, 
165.1,5802, 
 89.0,5832, 
 90.6,5832, 
 91.2,5828, 
 91.5,5830, 
 91.1,5830, 
 91.3,5832, 
 90.6,5830, 
 91.0,5832, 
 91.0,5830, 
 91.5,5830, 
 91.4,5828, 
 90.7,5832, 
 90.8,5832, 
 91.1,5832, 
 90.7,5830, 
 91.0,5830, 
 91.1,5830, 
 91.5,5830, 
 91.0,5832, 
 91.0,5832, 
 91.0,5832, 
 89.7,5832, 
 90.6,5832, 
 91.4,5832, 
 90.9,5830, 
 90.5,5828, 
 90.6,5832, 
 91.0,5830, 
 91.0,5828, 
 90.6,5832, 
 90.5,5832, 
 90.8,5832, 
 90.5,5830, 
 91.1,5832, 
 90.6,5832, 
 90.6,5828, 
 90.6,5832, 
 90.7,5830, 
 91.1,5832, 
 91.2,5828, 
 91.1,5832, 
 90.6,5832, 
 91.6,5832, 
 91.4,5830, 
 90.7,5830, 
 90.5,5832, 
 90.5,5832, 
 90.6,5832, 
 91.5,5830, 
 91.4,5828, 
 91.5,5830, 
 90.7,5830, 
 90.8,5832, 
 90.6,5830, 
 91.1,5832, 
 91.0,5828, 
 91.2,5830, 
 90.5,5832, 
 91.0,5830, 
 91.5,5828, 
 91.2,5832, 
 91.4,5830, 
 89.1,5832, 
 90.5,5830, 
2m,	28034
 89.9,5830, 
 89.7,5832, 
 89.9,5830, 
 90.1,5830, 
 89.9,5832, 
3m,	28084
120.6,5830, 
 90.3,5832, 
 89.9,5832, 
 90.2,5830, 
 98.7,5832, 
 89.9,5830, 
 89.4,5832, 
 89.9,5832, 
 90.1,5832, 
 89.5,5832, 
 90.4,5832, 
 90.4,5830, 
 88.1,5832, 
 90.4,5832, 
 90.0,5832, 
 90.3,5832, 
 89.9,5832, 
 89.5,5832, 
 90.3,5832, 
 90.0,5832, 
 90.1,5832, 
 90.1,5830, 
 90.3,5830, 
 90.1,5832, 
 89.5,5832, 
 90.0,5832, 
 89.5,5832, 
 89.5,5832, 
 90.4,5832, 
 90.0,5830, 
 90.4,5832, 
 90.4,5832, 
 89.5,5832, 
 89.8,5830, 
 86.4,5832, 
 90.2,5832, 
 90.7,5830, 
 89.4,5832, 
 90.3,5832, 
 90.3,5832, 
 89.4,5832, 
 89.3,5832, 
 90.3,5832, 
 90.2,5830, 
 89.6,5830, 
 90.2,5832, 
 89.7,5830, 
 89.9,5830, 
 90.1,5832, 
 90.1,5832, 
 90.0,5830, 
 90.2,5832, 
 90.3,5830, 
 90.3,5830, 
 91.3,5832, 
 89.4,5832, 
 89.8,5832, 
 89.6,5832, 
 89.8,5830, 
 89.5,5832, 
 89.5,5832, 
 89.4,5832, 
 89.9,5832, 
 90.1,5832, 
 89.6,5832, 
 89.6,5830, 
 90.4,5832, 
 89.6,5832, 
 89.6,5830, 
 90.3,5830, 
 89.8,5830, 
 89.7,5832, 
 89.7,5832, 
 89.7,5832, 
 90.2,5832, 
 88.9,5830, 
 90.1,5832, 
 89.8,5832, 
 89.9,5832, 
 89.6,5832, 
 89.7,5832, 
 89.4,5832, 
