 5052 mV	  35.45 mV	385.1 mA
 5008 mV	  41.42 mV	420.0 mA
 5036 mV	  39.53 mV	386.1 mA
 5044 mV	  38.71 mV	411.8 mA
 5044 mV	  38.38 mV	351.8 mA
 5024 mV	  38.18 mV	389.2 mA
 5028 mV	  39.21 mV	383.4 mA
 5044 mV	  35.60 mV	354.5 mA
 5040 mV	  36.10 mV	360.1 mA
 5044 mV	  35.40 mV	353.1 mA
 5044 mV	  36.01 mV	357.1 mA
 5044 mV	  35.59 mV	360.1 mA
 5044 mV	  36.14 mV	360.1 mA
 5044 mV	  35.34 mV	353.0 mA
 5048 mV	  35.11 mV	352.1 mA
 5044 mV	  35.91 mV	360.3 mA
 5032 mV	  45.63 mV	455.9 mA
 5040 mV	  36.15 mV	385.7 mA
 5048 mV	  38.37 mV	371.9 mA
 5028 mV	  38.63 mV	376.2 mA
 5024 mV	  37.04 mV	351.1 mA
 5036 mV	  38.33 mV	351.0 mA
 5024 mV	  39.23 mV	365.2 mA
 5028 mV	  39.30 mV	370.2 mA
 5044 mV	  35.89 mV	359.9 mA
 5048 mV	  35.52 mV	354.0 mA
 5044 mV	  35.72 mV	356.0 mA
 5044 mV	  35.66 mV	354.1 mA
 5044 mV	  35.93 mV	365.0 mA
 5044 mV	  35.56 mV	353.7 mA
 5044 mV	  35.68 mV	353.4 mA
 5040 mV	  36.91 mV	360.9 mA
 5044 mV	  35.52 mV	353.7 mA
 5048 mV	  35.31 mV	352.4 mA
 5024 mV	  35.72 mV	388.1 mA
 5032 mV	  38.79 mV	370.3 mA
 5040 mV	  37.87 mV	382.3 mA
 5024 mV	  35.12 mV	381.0 mA
 5052 mV	  39.67 mV	379.0 mA
 5036 mV	  38.19 mV	359.4 mA
 5032 mV	  39.59 mV	393.6 mA
 5028 mV	  38.96 mV	367.2 mA
 5024 mV	  38.44 mV	388.3 mA
 5028 mV	  38.19 mV	361.6 mA
 5028 mV	  38.14 mV	362.5 mA
 5012 mV	  41.06 mV	407.9 mA
 5036 mV	  35.64 mV	372.8 mA
 5028 mV	  37.52 mV	360.0 mA
 5032 mV	  35.39 mV	378.8 mA
 5036 mV	  35.23 mV	378.7 mA
 5028 mV	  39.47 mV	376.3 mA
 5044 mV	  32.75 mV	380.2 mA
 5048 mV	  35.76 mV	354.3 mA
 5040 mV	  36.24 mV	361.0 mA
 5048 mV	  35.75 mV	355.6 mA
 5048 mV	  35.31 mV	353.7 mA
 5024 mV	  39.21 mV	396.9 mA
 5060 mV	  37.68 mV	372.1 mA
 5028 mV	  36.47 mV	370.9 mA
 5032 mV	  34.30 mV	384.7 mA
 5060 mV	  40.12 mV	372.2 mA
 4980 mV	  45.72 mV	454.6 mA
 5040 mV	  38.73 mV	375.0 mA
 5028 mV	  40.07 mV	379.5 mA
 5056 mV	  37.80 mV	364.4 mA
 5028 mV	  36.16 mV	382.6 mA
 5032 mV	  39.30 mV	369.7 mA
 5032 mV	  37.67 mV	385.5 mA
 5044 mV	  35.61 mV	357.6 mA
 5044 mV	  36.08 mV	358.3 mA
 5044 mV	  35.48 mV	354.9 mA
 5044 mV	  35.98 mV	360.4 mA
 5044 mV	  36.26 mV	361.2 mA
 5044 mV	  35.57 mV	354.3 mA
 5044 mV	  35.46 mV	351.7 mA
 5044 mV	  35.95 mV	353.6 mA
 5044 mV	  36.25 mV	363.5 mA
 5044 mV	  35.51 mV	354.1 mA
 5044 mV	  35.59 mV	353.4 mA
 4996 mV	  44.06 mV	433.8 mA
 5044 mV	  35.94 mV	358.7 mA
 5044 mV	  35.97 mV	357.3 mA
 5044 mV	  35.93 mV	358.6 mA
 5048 mV	  35.72 mV	356.6 mA
 5028 mV	  39.33 mV	343.8 mA
 5036 mV	  39.09 mV	391.3 mA
 5044 mV	  37.88 mV	342.4 mA
 5044 mV	  35.60 mV	358.4 mA
 5044 mV	  35.97 mV	358.8 mA
 5044 mV	  35.80 mV	354.8 mA
 5044 mV	  35.54 mV	359.0 mA
 5044 mV	  35.71 mV	356.8 mA
 5044 mV	  35.93 mV	359.0 mA
 5044 mV	  35.47 mV	353.1 mA
 5032 mV	  37.82 mV	387.1 mA
 5028 mV	  38.22 mV	386.6 mA
 5028 mV	  37.98 mV	368.8 mA
 5008 mV	  42.93 mV	429.5 mA
 5044 mV	  36.31 mV	361.6 mA
 5044 mV	  35.79 mV	356.5 mA
 5044 mV	  35.62 mV	354.3 mA
 5040 mV	  36.36 mV	363.3 mA
 5036 mV	  36.31 mV	361.0 mA
 5048 mV	  35.33 mV	354.1 mA
 5032 mV	  39.74 mV	359.7 mA
 5048 mV	  33.61 mV	383.8 mA
 5052 mV	  36.80 mV	382.8 mA
 5044 mV	  32.74 mV	382.5 mA
 5036 mV	  37.74 mV	385.2 mA
 5024 mV	  39.45 mV	391.5 mA
 5036 mV	  36.14 mV	360.7 mA
 5020 mV	  40.55 mV	380.8 mA
 5040 mV	  37.11 mV	363.7 mA
 5024 mV	  37.64 mV	380.3 mA
 5028 mV	  36.37 mV	387.9 mA
 5044 mV	  39.39 mV	391.5 mA
 5036 mV	  38.81 mV	376.6 mA
 5040 mV	  39.23 mV	326.5 mA
 5036 mV	  36.11 mV	340.9 mA
 5036 mV	  37.27 mV	381.9 mA
 5052 mV	  39.27 mV	357.0 mA
 5040 mV	  36.15 mV	379.3 mA
 5048 mV	  35.27 mV	353.2 mA
 5028 mV	  38.41 mV	385.4 mA
 5024 mV	  38.50 mV	372.5 mA
 5036 mV	  38.01 mV	358.9 mA
 5028 mV	  36.43 mV	377.3 mA
 5032 mV	  38.58 mV	377.0 mA
 5024 mV	  43.33 mV	417.0 mA
 5028 mV	  37.79 mV	339.2 mA
 5028 mV	  38.09 mV	389.3 mA
 5040 mV	  39.09 mV	377.2 mA
 5060 mV	  37.45 mV	373.9 mA
 5040 mV	  36.23 mV	362.8 mA
 5044 mV	  35.60 mV	354.2 mA
 5048 mV	  35.55 mV	354.2 mA
 5040 mV	  36.38 mV	362.0 mA
 5032 mV	  36.74 mV	386.3 mA
 5032 mV	  38.49 mV	381.8 mA
 5028 mV	  38.62 mV	383.2 mA
