 5028 mV	  38.47 mV	401.3 mA
 5028 mV	  38.24 mV	378.8 mA
 5028 mV	  37.70 mV	339.4 mA
 5028 mV	  36.90 mV	391.3 mA
 5028 mV	  37.16 mV	382.7 mA
 5028 mV	  37.87 mV	371.4 mA
 5020 mV	  33.33 mV	378.3 mA
 5040 mV	  38.62 mV	375.8 mA
 5032 mV	  35.57 mV	382.0 mA
 5032 mV	  38.65 mV	376.9 mA
 5044 mV	  38.63 mV	383.5 mA
 5020 mV	  39.49 mV	367.8 mA
 5032 mV	  38.02 mV	372.4 mA
 5032 mV	  38.08 mV	370.3 mA
 5040 mV	  37.89 mV	389.0 mA
 5044 mV	  38.61 mV	393.6 mA
 5032 mV	  38.59 mV	386.6 mA
 4992 mV	  45.81 mV	443.8 mA
 5040 mV	  36.57 mV	363.8 mA
 5044 mV	  35.99 mV	358.1 mA
 5048 mV	  35.62 mV	352.3 mA
 5044 mV	  36.09 mV	358.9 mA
 5044 mV	  35.79 mV	356.7 mA
 5048 mV	  35.08 mV	351.0 mA
 5044 mV	  35.91 mV	359.2 mA
 5044 mV	  35.86 mV	357.9 mA
 5044 mV	  35.71 mV	356.9 mA
 5044 mV	  35.94 mV	358.0 mA
 5044 mV	  35.51 mV	352.7 mA
 5028 mV	  36.95 mV	388.1 mA
 5008 mV	  38.61 mV	391.4 mA
 5036 mV	  37.79 mV	386.4 mA
 5044 mV	  38.75 mV	371.6 mA
 5028 mV	  38.38 mV	392.6 mA
 5028 mV	  38.86 mV	387.7 mA
 5024 mV	  35.15 mV	387.3 mA
 5032 mV	  38.10 mV	371.8 mA
 5020 mV	  38.60 mV	393.4 mA
 5036 mV	  37.93 mV	383.5 mA
 5028 mV	  37.68 mV	379.3 mA
 5020 mV	  36.78 mV	376.1 mA
 5036 mV	  38.40 mV	391.7 mA
 5028 mV	  37.79 mV	389.3 mA
 5024 mV	  40.41 mV	377.7 mA
 5032 mV	  38.92 mV	396.8 mA
 5020 mV	  38.06 mV	377.0 mA
 5020 mV	  37.27 mV	318.8 mA
 4972 mV	  46.05 mV	450.9 mA
 5024 mV	  37.72 mV	388.7 mA
 5040 mV	  38.24 mV	380.3 mA
 5028 mV	  39.61 mV	387.9 mA
 5036 mV	  37.95 mV	378.1 mA
 5028 mV	  38.59 mV	341.7 mA
 5040 mV	  36.22 mV	360.3 mA
 5044 mV	  35.67 mV	356.0 mA
 5044 mV	  35.42 mV	354.8 mA
 5044 mV	  36.18 mV	362.2 mA
 5044 mV	  35.56 mV	355.9 mA
 5048 mV	  35.48 mV	349.8 mA
 5040 mV	  36.10 mV	361.1 mA
 5044 mV	  35.72 mV	352.2 mA
 5048 mV	  35.13 mV	348.1 mA
 5044 mV	  35.53 mV	354.6 mA
 5044 mV	  36.66 mV	358.3 mA
 5044 mV	  35.33 mV	361.1 mA
 5048 mV	  35.23 mV	348.0 mA
 5048 mV	  35.75 mV	356.1 mA
 5044 mV	  35.59 mV	356.3 mA
 5048 mV	  35.28 mV	350.4 mA
 5044 mV	  35.71 mV	354.8 mA
 5044 mV	  35.38 mV	350.6 mA
 5048 mV	  35.44 mV	354.6 mA
 5044 mV	  35.83 mV	357.7 mA
 5048 mV	  35.18 mV	353.2 mA
 5048 mV	  35.43 mV	355.3 mA
 5044 mV	  36.00 mV	358.5 mA
 5048 mV	  35.18 mV	351.7 mA
 5048 mV	  35.16 mV	347.4 mA
 5044 mV	  35.59 mV	355.6 mA
 5044 mV	  36.20 mV	360.7 mA
 5044 mV	  35.15 mV	350.1 mA
 5048 mV	  35.08 mV	349.3 mA
 5044 mV	  35.57 mV	354.3 mA
 5044 mV	  35.34 mV	351.9 mA
 5048 mV	  34.90 mV	348.7 mA
 4972 mV	  43.38 mV	428.7 mA
 5044 mV	  35.69 mV	355.0 mA
 5048 mV	  35.35 mV	353.3 mA
 5044 mV	  36.08 mV	356.7 mA
 5044 mV	  35.42 mV	353.7 mA
 5048 mV	  35.68 mV	353.2 mA
 5040 mV	  36.17 mV	361.9 mA
 5044 mV	  35.22 mV	350.9 mA
 5044 mV	  35.16 mV	351.4 mA
 5044 mV	  36.32 mV	356.8 mA
 5044 mV	  35.69 mV	356.1 mA
 5028 mV	  37.96 mV	387.4 mA
 5028 mV	  38.31 mV	370.1 mA
 5032 mV	  38.78 mV	393.9 mA
 5024 mV	  38.16 mV	385.0 mA
 5032 mV	  36.97 mV	372.9 mA
 5036 mV	  39.38 mV	387.9 mA
